school_year,dpi_true_id,school_name,accurate_agency_type,overall_score,overall_rating,school_enrollment,sch_ach,sch_growth,sch_cg,sch_tgo,sch_ot,cfc_score,cfc_rating,cfc_ssm_score,cfc_ssm_rating,cfc_milwaukee_indicator
2018-19,4851_0030,Doudna Elementary,Traditional Public,77,Exceeds Expectations,339,58.7,75.6,75.1,NA,85.7,NA,NA,NA,NA,0
2018-19,4851_0240,Jefferson Elementary,Traditional Public,72.6,Meets Expectations,172,57.7,60.3,81.8,NA,88.5,NA,NA,NA,NA,0
2018-19,4851_0320,Richland Center High,Traditional Public,66.5,Meets Expectations^,418,61.2,60.3,NA,NA,90.3,NA,NA,NA,NA,0
2018-19,4851_0280,Richland Middle,Traditional Public,71.4,Meets Expectations,268,52.8,67.9,70,NA,84,NA,NA,NA,NA,0
2018-19,4851_0450,Richland Online Academy,Non-Instrumentality Charter,NA,Alternate Rating - Needs Improvement,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,3122_0020,Richmond Elementary,Traditional Public,86,Significantly Exceeds Expectations,412,92.1,84.1,66.7,NA,94.5,NA,NA,NA,NA,0
2018-19,3619_0103,Milwaukee Academy of Chinese Language,Traditional Public,71.7,Meets Expectations^,441,20,83.2,79.2,NA,73.8,NA,NA,NA,NA,1
2018-19,3619_0123,Milwaukee College Preparatory School -- 36th Street Campus,Non-Instrumentality Charter,73.6,Exceeds Expectations,506,68.2,73.6,59.1,NA,89.1,NA,NA,NA,NA,1
2018-19,4865_0020,Rio Elementary,Traditional Public,78.5,Exceeds Expectations,192,63,85,77.9,NA,86.2,NA,NA,NA,NA,0
2018-19,4865_0040,Rio Middle/High,Traditional Public,73.2,Exceeds Expectations,215,58.8,77.4,NA,NA,85.3,NA,NA,NA,NA,0
2018-19,4872_0110,Barlow Park Elementary,Traditional Public,NA,Alternate Rating - Satisfactory Progress,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,4872_0200,Catalyst Charter Middle,Instrumentality Charter,83.8,Significantly Exceeds Expectations,114,87.2,60.3,87.3,NA,94,NA,NA,NA,NA,0
2018-19,4872_0130,Journey,Instrumentality Charter,NA,Alternate Rating - Satisfactory Progress,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018-19,4872_0440,Lumen Charter High,Instrumentality Charter,76.1,Exceeds Expectations,54,70.6,68.9,NA,NA,100,NA,NA,NA,NA,0
2018-19,4872_0100,Murray Park Elementary,Traditional Public,90.2,Significantly Exceeds Expectations,157,76.9,100,87,NA,90.8,NA,NA,NA,NA,0
2018-19,4872_0170,Quest Charter School,Instrumentality Charter,86.8,Significantly Exceeds Expectations,142,97.9,49.9,100,NA,96.9,NA,NA,NA,NA,0
2018-19,4872_0120,Ripon High,Traditional Public,69.7,Meets Expectations,454,64.4,58.4,67.9,NA,92.9,NA,NA,NA,NA,0
2018-19,4872_0140,Ripon Middle,Traditional Public,77.6,Exceeds Expectations,259,68.8,72.7,79.9,NA,88.4,NA,NA,NA,NA,0
2018-19,3619_0111,Milwaukee College Preparatory School -- 38th Street,Non-Instrumentality Charter,83.5,Significantly Exceeds Expectations,506,62.7,81.2,87.2,NA,88,NA,NA,NA,NA,1
2018-19,3619_0145,Milwaukee College Preparatory School -- Lloyd Street,Non-Instrumentality Charter,80.9,Exceeds Expectations,501,62,71.7,94.1,NA,88,NA,NA,NA,NA,1
2018-19,4893_0020,Greenwood Elementary,Traditional Public,86.9,Significantly Exceeds Expectations,407,84.3,78.4,89.8,NA,92.9,NA,NA,NA,NA,0
2018-19,4893_0060,Meyer Middle,Traditional Public,79.2,Exceeds Expectations,776,76.4,69.8,78.7,NA,89.9,NA,NA,NA,NA,0
